timestamp,signal,score,price,buy,sell,neutral
2026-04-24T11:07:44.088086,N/A,0.0,,0,0,0
2026-04-24T11:12:52.205015,N/A,0.0,,0,0,0
2026-04-24T11:18:00.291675,N/A,0.0,,0,0,0
2026-04-24T11:23:29.406642,N/A,0.0,,0,0,0
2026-04-24T11:28:37.247428,N/A,0.0,,0,0,0
2026-04-24T11:33:45.331948,N/A,0.0,,0,0,0
2026-04-24T11:38:53.353278,N/A,0.0,,0,0,0
2026-04-24T11:44:01.382690,N/A,0.0,,0,0,0
2026-04-24T11:49:09.523336,N/A,0.0,,0,0,0
2026-04-24T11:54:17.624026,N/A,0.0,,0,0,0
2026-04-24T11:59:25.703837,N/A,0.0,,0,0,0
2026-04-24T12:04:33.891196,N/A,0.0,,0,0,0
2026-04-24T12:09:41.959523,N/A,0.0,,0,0,0
2026-04-24T12:14:50.141602,N/A,0.0,,0,0,0
2026-04-24T12:19:58.310748,N/A,0.0,,0,0,0
2026-04-24T12:25:06.380646,N/A,0.0,,0,0,0
2026-04-24T12:30:14.490901,N/A,0.0,,0,0,0
2026-04-24T12:35:22.584769,N/A,0.0,,0,0,0
2026-04-24T12:40:30.743692,N/A,0.0,,0,0,0
2026-04-24T12:45:38.964785,N/A,0.0,,0,0,0
2026-04-24T12:50:47.084323,N/A,0.0,,0,0,0
2026-04-24T12:55:55.267767,N/A,0.0,,0,0,0
2026-04-24T13:01:03.342919,N/A,0.0,,0,0,0
2026-04-24T13:06:11.588123,N/A,0.0,,0,0,0
2026-04-24T13:11:19.743158,N/A,0.0,,0,0,0
2026-04-24T13:16:27.804463,N/A,0.0,,0,0,0
2026-04-24T13:21:35.980220,N/A,0.0,,0,0,0
2026-04-24T13:26:44.148407,N/A,0.0,,0,0,0
2026-04-24T13:31:52.307685,N/A,0.0,,0,0,0
2026-04-24T13:37:00.342980,N/A,0.0,,0,0,0
2026-04-24T13:42:08.492356,N/A,0.0,,0,0,0
2026-04-24T13:47:16.611493,N/A,0.0,,0,0,0
2026-04-24T13:52:24.774319,N/A,0.0,,0,0,0
2026-04-24T13:57:32.488934,N/A,0.0,,0,0,0
2026-04-24T14:02:40.180148,N/A,0.0,,0,0,0
2026-04-24T14:07:48.148155,N/A,0.0,,0,0,0
2026-04-24T14:12:56.175106,N/A,0.0,,0,0,0
2026-04-24T14:18:04.360219,N/A,0.0,,0,0,0
2026-04-24T14:23:12.056929,N/A,0.0,,0,0,0
2026-04-24T14:28:19.856986,N/A,0.0,,0,0,0
2026-04-24T14:33:27.746693,N/A,0.0,,0,0,0
2026-04-24T14:38:36.015333,N/A,0.0,,0,0,0
2026-04-24T14:43:44.220252,N/A,0.0,,0,0,0
2026-04-24T14:48:52.374933,N/A,0.0,,0,0,0
2026-04-24T14:54:00.399335,N/A,0.0,,0,0,0
2026-04-24T14:59:08.496303,N/A,0.0,,0,0,0
2026-04-24T15:04:16.780676,N/A,0.0,,0,0,0
2026-04-24T15:09:24.923163,N/A,0.0,,0,0,0
2026-04-24T15:14:33.076636,N/A,0.0,,0,0,0
2026-04-24T15:19:41.158864,N/A,0.0,,0,0,0
2026-04-24T15:24:49.311229,N/A,0.0,,0,0,0
2026-04-24T15:29:57.448021,N/A,0.0,,0,0,0
2026-04-24T15:35:05.625357,N/A,0.0,,0,0,0
2026-04-24T15:40:13.838562,N/A,0.0,,0,0,0
2026-04-24T15:41:43.913622,N/A,0.0,,0,0,0
2026-04-24T15:46:52.124146,N/A,0.0,,0,0,0
2026-04-24T15:52:00.330671,N/A,0.0,,0,0,0
2026-04-24T15:57:08.652927,N/A,0.0,,0,0,0
