timestamp,signal,score,price,buy,sell,neutral
2026-04-24T11:07:44.088086,SELL,-0.3,93.8,6,10,10
2026-04-24T11:12:52.205015,SELL,-0.3,93.595,6,10,10
2026-04-24T11:18:00.291675,SELL,-0.3,93.635,6,10,10
2026-04-24T11:23:29.406642,SELL,-0.3,93.605,6,10,10
2026-04-24T11:28:37.247428,SELL,-0.3,93.82,6,10,10
2026-04-24T11:33:45.331948,SELL,-0.3,93.8,6,10,10
2026-04-24T11:38:53.353278,SELL,-0.3,93.74,6,10,10
2026-04-24T11:44:01.382690,SELL,-0.3,93.47,6,10,10
2026-04-24T11:49:09.523336,SELL,-0.3,93.48,6,10,10
2026-04-24T11:54:17.624026,SELL,-0.3,93.6,6,10,10
2026-04-24T11:59:25.703837,SELL,-0.3,93.53,6,10,10
2026-04-24T12:04:33.891196,SELL,-0.3,93.97,6,10,10
2026-04-24T12:09:41.959523,SELL,-0.3,94.17,6,10,10
2026-04-24T12:14:50.141602,SELL,-0.3,94.2,6,10,10
2026-04-24T12:19:58.310748,SELL,-0.3,94.23,6,10,10
2026-04-24T12:25:06.380646,SELL,-0.3,94.0833,6,10,10
2026-04-24T12:30:14.490901,SELL,-0.3,94.08,6,10,10
2026-04-24T12:35:22.584769,SELL,-0.3,94.13,6,10,10
2026-04-24T12:40:30.743692,SELL,-0.3,94.13,6,10,10
2026-04-24T12:45:38.964785,SELL,-0.3,94.17,6,10,10
2026-04-24T12:50:47.084323,SELL,-0.3,94.43,6,10,10
2026-04-24T12:55:55.267767,SELL,-0.3,94.13,6,10,10
2026-04-24T13:01:03.342919,SELL,-0.3,94.1299,6,10,10
2026-04-24T13:06:11.588123,SELL,-0.3,94.205,6,10,10
2026-04-24T13:11:19.743158,SELL,-0.3,94.32,6,10,10
2026-04-24T13:16:27.804463,SELL,-0.3,94.41,6,10,10
2026-04-24T13:21:35.980220,SELL,-0.3,94.26,6,10,10
2026-04-24T13:26:44.148407,SELL,-0.3,94.28,6,10,10
2026-04-24T13:31:52.307685,SELL,-0.3,94.32,6,10,10
2026-04-24T13:37:00.342980,SELL,-0.3,94.25,6,10,10
2026-04-24T13:42:08.492356,SELL,-0.3,94.185,6,10,10
2026-04-24T13:47:16.611493,SELL,-0.3,94.21,6,10,10
2026-04-24T13:52:24.774319,SELL,-0.3,94.29,6,10,10
2026-04-24T13:57:32.488934,SELL,-0.3,94.23,6,10,10
2026-04-24T14:02:40.180148,SELL,-0.3,94.13,6,10,10
2026-04-24T14:07:48.148155,SELL,-0.3,94.085,6,10,10
2026-04-24T14:12:56.175106,SELL,-0.3,94.16,6,10,10
2026-04-24T14:18:04.360219,SELL,-0.3,94.14,6,10,10
2026-04-24T14:23:12.056929,SELL,-0.3,94.08,6,10,10
2026-04-24T14:28:19.856986,SELL,-0.3,94.19,6,10,10
2026-04-24T14:33:27.746693,SELL,-0.3,94.11,6,10,10
2026-04-24T14:38:36.015333,SELL,-0.3,94.12,6,10,10
2026-04-24T14:43:44.220252,SELL,-0.3,94.08,6,10,10
2026-04-24T14:48:52.374933,SELL,-0.3,94.07,6,10,10
2026-04-24T14:54:00.399335,SELL,-0.3,94.07,6,10,10
2026-04-24T14:59:08.496303,SELL,-0.3,94.01,6,10,10
2026-04-24T15:04:16.780676,SELL,-0.3,94.12,6,10,10
2026-04-24T15:09:24.923163,SELL,-0.3,94.16,6,10,10
2026-04-24T15:14:33.076636,SELL,-0.3,94.2,6,10,10
2026-04-24T15:19:41.158864,SELL,-0.3,94.3,6,10,10
2026-04-24T15:24:49.311229,SELL,-0.3,94.16,6,10,10
2026-04-24T15:29:57.448021,SELL,-0.3,94.2,6,10,10
2026-04-24T15:35:05.625357,SELL,-0.3,94.23,6,10,10
2026-04-24T15:40:13.838562,SELL,-0.3,94.08,6,10,10
2026-04-24T15:41:43.913622,SELL,-0.3,94.03,6,10,10
2026-04-24T15:46:52.124146,SELL,-0.3,94.1,6,10,10
2026-04-24T15:52:00.330671,SELL,-0.3,94.1,6,10,10
2026-04-24T15:57:08.652927,SELL,-0.3,94.14,6,10,10
