timestamp,signal,score,price,buy,sell,neutral
2026-04-24T11:07:44.088086,HOLD,-0.05,44.199,10,7,9
2026-04-24T11:12:52.205015,HOLD,-0.05,44.2451,10,7,9
2026-04-24T11:18:00.291675,HOLD,-0.05,44.18,10,7,9
2026-04-24T11:23:29.406642,HOLD,-0.05,44.015,10,8,8
2026-04-24T11:28:37.247428,HOLD,-0.05,44.0699,10,7,9
2026-04-24T11:33:45.331948,HOLD,-0.05,44.085,10,7,9
2026-04-24T11:38:53.353278,HOLD,-0.05,44.14,10,7,9
2026-04-24T11:44:01.382690,HOLD,-0.05,44.13,10,7,9
2026-04-24T11:49:09.523336,HOLD,-0.05,44.13,10,7,9
2026-04-24T11:54:17.624026,HOLD,-0.05,44.09,10,7,9
2026-04-24T11:59:25.703837,HOLD,-0.05,44.115,10,7,9
2026-04-24T12:04:33.891196,HOLD,-0.05,44.19,10,7,9
2026-04-24T12:09:41.959523,HOLD,-0.05,44.215,10,7,9
2026-04-24T12:14:50.141602,HOLD,-0.05,44.235,10,7,9
2026-04-24T12:19:58.310748,HOLD,-0.05,44.2001,10,7,9
2026-04-24T12:25:06.380646,HOLD,-0.05,44.13,10,7,9
2026-04-24T12:30:14.490901,HOLD,-0.05,44.1209,10,7,9
2026-04-24T12:35:22.584769,HOLD,-0.05,44.06,10,7,9
2026-04-24T12:40:30.743692,HOLD,-0.05,44.07,10,7,9
2026-04-24T12:45:38.964785,HOLD,-0.05,44.08,10,7,9
2026-04-24T12:50:47.084323,HOLD,-0.05,44.155,10,7,9
2026-04-24T12:55:55.267767,HOLD,-0.05,44.07,10,7,9
2026-04-24T13:01:03.342919,HOLD,-0.05,44.0701,10,7,9
2026-04-24T13:06:11.588123,HOLD,-0.05,44.04,10,8,8
2026-04-24T13:11:19.743158,HOLD,-0.05,44.07,10,7,9
2026-04-24T13:16:27.804463,HOLD,-0.05,44.08,10,7,9
2026-04-24T13:21:35.980220,HOLD,-0.05,43.99,10,8,8
2026-04-24T13:26:44.148407,HOLD,-0.05,44.085,10,7,9
2026-04-24T13:31:52.307685,HOLD,-0.05,44.07,10,7,9
2026-04-24T13:37:00.342980,HOLD,-0.05,44.015,10,8,8
2026-04-24T13:42:08.492356,HOLD,-0.05,44.025,10,8,8
2026-04-24T13:47:16.611493,HOLD,-0.05,44.0601,10,7,9
2026-04-24T13:52:24.774319,HOLD,-0.05,44,10,8,8
2026-04-24T13:57:32.488934,HOLD,-0.05,43.985,10,8,8
2026-04-24T14:02:40.180148,HOLD,-0.05,43.98,10,8,8
2026-04-24T14:07:48.148155,HOLD,-0.05,44.035,10,8,8
2026-04-24T14:12:56.175106,HOLD,-0.05,44.1,10,7,9
2026-04-24T14:18:04.360219,HOLD,-0.05,44.07,10,7,9
2026-04-24T14:23:12.056929,HOLD,-0.05,44.02,10,8,8
2026-04-24T14:28:19.856986,HOLD,-0.05,44.0262,10,8,8
2026-04-24T14:33:27.746693,HOLD,-0.05,43.85,10,7,9
2026-04-24T14:38:36.015333,HOLD,-0.05,43.93,10,7,9
2026-04-24T14:43:44.220252,HOLD,-0.05,43.935,10,7,9
2026-04-24T14:48:52.374933,HOLD,-0.05,43.9651,10,7,9
2026-04-24T14:54:00.399335,HOLD,-0.05,44.005,10,7,9
2026-04-24T14:59:08.496303,HOLD,-0.05,43.9401,10,7,9
2026-04-24T15:04:16.780676,HOLD,-0.05,43.98,10,7,9
2026-04-24T15:09:24.923163,HOLD,-0.05,43.98,10,7,9
2026-04-24T15:14:33.076636,HOLD,-0.05,43.9899,10,7,9
2026-04-24T15:19:41.158864,HOLD,-0.05,44.02,10,8,8
2026-04-24T15:24:49.311229,HOLD,-0.05,43.995,10,7,9
2026-04-24T15:29:57.448021,HOLD,-0.05,44,10,7,9
2026-04-24T15:35:05.625357,HOLD,-0.05,44.015,10,7,9
2026-04-24T15:40:13.838562,HOLD,-0.05,43.985,10,7,9
2026-04-24T15:41:43.913622,HOLD,-0.05,43.97,10,7,9
2026-04-24T15:46:52.124146,HOLD,-0.05,44.0075,10,7,9
2026-04-24T15:52:00.330671,HOLD,-0.05,44.0001,10,7,9
2026-04-24T15:57:08.652927,HOLD,-0.05,44.02,10,7,9
